epoca,mse
1,4.856744
2,2.495915
3,1.742501
4,0.917021
5,0.781256
6,0.669840
7,0.642370
8,0.627192
9,0.617887
10,0.611220
11,0.606060
12,0.601844
13,0.598242
14,0.595024
15,0.591983
16,0.588876
17,0.585316
18,0.580562
19,0.573219
20,0.561872
21,0.543671
22,0.458855
23,0.206619
24,0.123769
25,0.061765
26,0.050586
27,0.043716
28,0.038929
29,0.035296
30,0.032380
31,0.029965
32,0.027922
33,0.026166
34,0.024639
35,0.023298
36,0.022111
37,0.021054
38,0.020106
39,0.019251
40,0.018476
41,0.017769
42,0.017121
43,0.016524
44,0.015972
45,0.015459
46,0.014980
47,0.014533
48,0.014113
49,0.013719
50,0.013347
51,0.012996
52,0.012664
53,0.012349
54,0.012050
55,0.011767
56,0.011496
57,0.011239
58,0.010993
59,0.010758
60,0.010534
61,0.010318
62,0.010112
63,0.009915
64,0.009725
65,0.009542
66,0.009367
67,0.009198
68,0.009035
69,0.008878
70,0.008726
71,0.008580
72,0.008439
73,0.008303
74,0.008170
75,0.008043
76,0.007919
77,0.007799
78,0.007683
79,0.007570
80,0.007460
81,0.007354
82,0.007251
83,0.007151
84,0.007053
85,0.006958
86,0.006866
87,0.006776
88,0.006689
89,0.006604
90,0.006521
91,0.006440
92,0.006361
93,0.006284
94,0.006209
95,0.006136
96,0.006064
97,0.005994
98,0.005926
99,0.005859
100,0.005794
101,0.005730
102,0.005668
103,0.005607
104,0.005547
105,0.005489
106,0.005432
107,0.005376
108,0.005321
109,0.005267
110,0.005215
111,0.005163
112,0.005113
113,0.005063
114,0.005014
115,0.004967
116,0.004920
117,0.004874
118,0.004829
119,0.004785
120,0.004742
121,0.004699
122,0.004657
123,0.004616
124,0.004576
125,0.004536
126,0.004497
127,0.004459
128,0.004421
129,0.004384
130,0.004347
131,0.004312
132,0.004276
133,0.004242
134,0.004208
135,0.004174
136,0.004141
137,0.004109
138,0.004077
139,0.004045
140,0.004014
141,0.003984
142,0.003953
143,0.003924
144,0.003895
145,0.003866
146,0.003838
147,0.003810
148,0.003782
149,0.003755
150,0.003728
151,0.003702
152,0.003676
153,0.003650
154,0.003625
155,0.003600
156,0.003576
157,0.003551
158,0.003527
159,0.003504
160,0.003481
161,0.003458
162,0.003435
163,0.003412
164,0.003390
165,0.003369
166,0.003347
167,0.003326
168,0.003305
169,0.003284
170,0.003264
171,0.003243
172,0.003223
173,0.003204
174,0.003184
175,0.003165
176,0.003146
177,0.003127
178,0.003109
179,0.003090
180,0.003072
181,0.003054
182,0.003037
183,0.003019
184,0.003002
185,0.002985
186,0.002968
187,0.002951
188,0.002934
189,0.002918
190,0.002902
191,0.002886
192,0.002870
193,0.002854
194,0.002839
195,0.002824
196,0.002808
197,0.002793
198,0.002779
199,0.002764
200,0.002749
201,0.002735
202,0.002721
203,0.002707
204,0.002693
205,0.002679
206,0.002665
207,0.002652
208,0.002639
209,0.002625
210,0.002612
211,0.002599
212,0.002586
213,0.002574
214,0.002561
215,0.002549
