epoca,mse
1,0.410406
2,0.358057
3,0.314324
4,0.279173
5,0.254658
6,0.238567
7,0.227481
8,0.219582
9,0.215054
10,0.211260
11,0.207891
12,0.205861
13,0.204242
14,0.202929
15,0.202017
16,0.200851
17,0.199525
18,0.198827
19,0.198168
20,0.197839
21,0.197193
22,0.196528
23,0.195930
24,0.195414
25,0.194794
26,0.194503
27,0.194036
28,0.193599
29,0.192866
30,0.192474
31,0.192333
32,0.191684
33,0.191608
34,0.190869
35,0.190758
36,0.190056
37,0.189686
38,0.189538
39,0.189144
40,0.188624
41,0.188355
42,0.187616
43,0.187242
44,0.187038
45,0.186753
46,0.186290
47,0.185867
48,0.185491
49,0.185030
50,0.184662
51,0.184103
52,0.183534
53,0.183404
54,0.182700
55,0.182575
56,0.182148
57,0.181756
58,0.181045
59,0.180905
60,0.180381
61,0.179966
62,0.179543
63,0.179215
64,0.178801
65,0.178369
66,0.177619
67,0.177218
68,0.176965
69,0.176632
70,0.176175
71,0.175801
72,0.175339
73,0.174563
74,0.174379
75,0.173657
76,0.173516
77,0.173017
78,0.172586
79,0.172194
80,0.171591
81,0.171199
82,0.170757
83,0.170331
84,0.169743
85,0.169371
86,0.168601
87,0.168413
88,0.167929
89,0.167475
90,0.166958
91,0.166400
92,0.165987
93,0.165469
94,0.164878
95,0.164382
96,0.163657
97,0.163445
98,0.162808
99,0.162423
100,0.161566
101,0.161335
102,0.160515
103,0.160298
104,0.159694
105,0.159225
106,0.158519
107,0.157987
108,0.157363
109,0.156917
110,0.156345
111,0.155733
112,0.154902
113,0.154655
114,0.153937
115,0.153393
116,0.152893
117,0.152123
118,0.151597
119,0.150761
120,0.150300
121,0.149635
122,0.149195
123,0.148490
124,0.147871
125,0.147336
126,0.146472
127,0.145824
128,0.145248
129,0.144363
130,0.143701
131,0.143063
132,0.142592
133,0.141789
134,0.141203
135,0.140497
136,0.139963
137,0.139032
138,0.138600
139,0.137994
140,0.136991
141,0.136228
142,0.135548
143,0.134808
144,0.134474
145,0.133527
146,0.132783
147,0.131983
148,0.131178
149,0.130447
150,0.130041
151,0.129268
152,0.128237
153,0.127498
154,0.126688
155,0.126029
156,0.125280
157,0.124529
158,0.123676
159,0.123212
160,0.122123
161,0.121329
162,0.120637
163,0.120126
164,0.118987
165,0.118552
166,0.117597
167,0.116929
168,0.115829
169,0.115140
170,0.114339
171,0.113470
172,0.112729
173,0.112219
174,0.111405
175,0.110194
176,0.109428
177,0.108724
178,0.108178
179,0.107069
180,0.106290
181,0.105549
182,0.105040
183,0.103942
184,0.103181
185,0.102237
186,0.101778
187,0.100981
188,0.099900
189,0.099386
190,0.098563
191,0.097738
192,0.096943
193,0.095797
194,0.095160
195,0.094350
196,0.093380
197,0.092973
198,0.091888
199,0.091428
200,0.090274
201,0.089624
202,0.088942
203,0.088387
204,0.087331
205,0.086752
206,0.085677
207,0.084908
208,0.084268
209,0.083815
210,0.083005
211,0.081998
212,0.081239
213,0.080676
214,0.079738
215,0.078900
216,0.078294
217,0.077570
218,0.077091
219,0.076037
220,0.075639
221,0.074937
222,0.074219
223,0.073527
224,0.072644
225,0.072158
226,0.071295
227,0.070530
228,0.070118
229,0.069210
230,0.068833
231,0.068172
232,0.067252
233,0.066744
234,0.065964
235,0.065627
236,0.064842
237,0.064080
238,0.063604
239,0.063005
240,0.062404
241,0.061679
242,0.061077
243,0.060627
244,0.060183
245,0.059482
246,0.058761
247,0.058232
248,0.057708
249,0.057228
250,0.056906
251,0.056321
252,0.055766
253,0.055012
254,0.054610
255,0.054050
256,0.053527
257,0.053133
258,0.052618
259,0.051886
260,0.051630
261,0.051037
262,0.050445
263,0.050071
264,0.049480
265,0.049045
266,0.048624
267,0.048186
268,0.047923
269,0.047348
270,0.046781
271,0.046443
272,0.045902
273,0.045496
274,0.045111
275,0.044712
276,0.044383
277,0.043914
278,0.043402
279,0.043030
280,0.042657
281,0.042292
282,0.041982
283,0.041621
284,0.041234
285,0.040717
286,0.040502
287,0.040058
288,0.039744
289,0.039386
290,0.038892
291,0.038689
292,0.038278
293,0.037983
294,0.037588
295,0.037255
296,0.036856
297,0.036526
298,0.036278
299,0.036003
300,0.035685
301,0.035323
302,0.035017
303,0.034647
304,0.034455
305,0.034112
306,0.033862
307,0.033462
308,0.033240
309,0.032953
310,0.032611
311,0.032434
312,0.032066
313,0.031804
314,0.031551
315,0.031335
316,0.031091
317,0.030745
318,0.030501
319,0.030336
320,0.030076
321,0.029786
322,0.029531
323,0.029320
324,0.029000
325,0.028845
326,0.028610
327,0.028346
328,0.028071
329,0.027851
330,0.027703
331,0.027450
332,0.027224
333,0.027008
334,0.026797
335,0.026588
336,0.026407
337,0.026171
338,0.025970
339,0.025793
340,0.025564
341,0.025392
342,0.025191
343,0.024936
344,0.024746
345,0.024616
346,0.024376
347,0.024225
348,0.024057
349,0.023825
350,0.023679
351,0.023518
352,0.023323
353,0.023168
354,0.022948
355,0.022810
356,0.022641
357,0.022493
358,0.022311
359,0.022151
360,0.021962
361,0.021846
362,0.021646
363,0.021518
364,0.021379
365,0.021226
366,0.021075
367,0.020926
368,0.020764
369,0.020594
370,0.020488
371,0.020345
372,0.020168
373,0.020066
374,0.019927
375,0.019790
376,0.019640
377,0.019517
378,0.019384
379,0.019240
380,0.019110
381,0.018994
382,0.018854
383,0.018709
384,0.018614
385,0.018461
386,0.018342
387,0.018224
388,0.018107
389,0.018006
390,0.017884
391,0.017765
392,0.017633
393,0.017537
394,0.017433
395,0.017312
396,0.017185
397,0.017091
398,0.016992
399,0.016876
400,0.016754
401,0.016664
402,0.016560
403,0.016442
404,0.016355
405,0.016239
406,0.016140
407,0.016042
408,0.015966
409,0.015868
410,0.015771
411,0.015675
412,0.015580
413,0.015467
414,0.015376
415,0.015297
416,0.015192
417,0.015121
418,0.015013
419,0.014944
420,0.014838
421,0.014770
422,0.014676
423,0.014595
424,0.014503
425,0.014409
426,0.014343
427,0.014254
428,0.014172
429,0.014091
430,0.014001
431,0.013937
432,0.013859
433,0.013775
434,0.013698
435,0.013612
436,0.013551
437,0.013470
438,0.013396
439,0.013313
440,0.013254
441,0.013181
442,0.013096
443,0.013038
444,0.012968
445,0.012897
446,0.012828
