epoca,mse
1,0.991537
2,0.830765
3,0.794798
4,0.761209
5,0.718927
6,0.665133
7,0.611184
8,0.559547
9,0.505693
10,0.459511
11,0.409620
12,0.371165
13,0.331282
14,0.297704
15,0.269640
16,0.241508
17,0.219538
18,0.199612
19,0.180626
20,0.166583
21,0.152136
22,0.139886
23,0.128598
24,0.115529
25,0.108840
26,0.100070
27,0.091699
28,0.085117
29,0.077081
30,0.071933
31,0.067356
32,0.062147
33,0.057936
34,0.054474
35,0.050545
36,0.047849
37,0.044877
38,0.042429
39,0.039486
40,0.037796
41,0.036245
42,0.034113
43,0.032616
44,0.031056
45,0.029750
46,0.028460
47,0.027369
48,0.026258
49,0.025213
50,0.024291
51,0.023342
52,0.022568
53,0.021765
54,0.021067
55,0.020370
56,0.019716
57,0.019114
58,0.018508
59,0.017993
60,0.017476
61,0.016983
62,0.016507
63,0.016044
64,0.015654
65,0.015254
66,0.014861
67,0.014506
68,0.014146
69,0.013813
70,0.013497
71,0.013188
72,0.012890
73,0.012607
74,0.012337
75,0.012077
76,0.011830
77,0.011587
78,0.011346
79,0.011129
80,0.010912
81,0.010708
82,0.010503
83,0.010312
84,0.010124
85,0.009943
86,0.009768
87,0.009596
88,0.009431
89,0.009272
90,0.009121
91,0.008970
92,0.008826
93,0.008685
94,0.008548
95,0.008416
96,0.008284
97,0.008161
98,0.008036
99,0.007922
100,0.007805
101,0.007694
102,0.007583
103,0.007479
104,0.007374
105,0.007272
106,0.007177
107,0.007081
108,0.006986
109,0.006894
110,0.006807
111,0.006719
112,0.006633
113,0.006551
114,0.006471
115,0.006392
116,0.006314
117,0.006239
118,0.006165
119,0.006091
120,0.006022
121,0.005953
122,0.005885
123,0.005817
124,0.005754
125,0.005691
126,0.005628
127,0.005567
128,0.005508
129,0.005449
130,0.005391
131,0.005336
132,0.005280
133,0.005225
134,0.005174
135,0.005120
136,0.005070
137,0.005019
138,0.004971
139,0.004922
140,0.004874
141,0.004829
142,0.004783
143,0.004738
144,0.004694
145,0.004651
146,0.004608
147,0.004565
148,0.004525
149,0.004484
150,0.004445
151,0.004405
152,0.004367
153,0.004329
154,0.004291
155,0.004255
156,0.004219
157,0.004183
158,0.004148
159,0.004114
160,0.004080
161,0.004046
162,0.004014
163,0.003982
164,0.003950
165,0.003919
166,0.003888
167,0.003857
168,0.003827
169,0.003797
170,0.003768
171,0.003740
172,0.003711
173,0.003684
174,0.003656
175,0.003629
176,0.003602
177,0.003576
178,0.003550
179,0.003524
180,0.003499
181,0.003474
182,0.003449
183,0.003425
184,0.003401
185,0.003377
186,0.003354
187,0.003331
188,0.003308
189,0.003286
190,0.003264
191,0.003242
192,0.003220
193,0.003199
194,0.003178
195,0.003157
196,0.003137
197,0.003116
198,0.003096
199,0.003076
200,0.003056
201,0.003037
202,0.003018
203,0.002999
204,0.002981
205,0.002962
206,0.002944
207,0.002926
208,0.002908
209,0.002891
210,0.002873
211,0.002856
212,0.002839
213,0.002822
214,0.002805
215,0.002789
216,0.002773
217,0.002757
218,0.002741
219,0.002725
220,0.002710
221,0.002694
222,0.002679
223,0.002664
224,0.002649
225,0.002634
226,0.002620
227,0.002605
228,0.002591
229,0.002577
230,0.002563
231,0.002549
232,0.002535
233,0.002522
234,0.002508
235,0.002495
236,0.002482
237,0.002469
238,0.002456
239,0.002443
240,0.002431
241,0.002418
242,0.002406
243,0.002393
244,0.002381
245,0.002369
246,0.002357
247,0.002345
248,0.002334
249,0.002322
250,0.002311
251,0.002299
252,0.002288
253,0.002277
254,0.002266
255,0.002255
256,0.002244
257,0.002233
258,0.002223
259,0.002212
260,0.002201
261,0.002191
262,0.002181
263,0.002171
264,0.002161
265,0.002151
266,0.002141
267,0.002131
268,0.002121
269,0.002111
270,0.002102
271,0.002092
272,0.002083
273,0.002074
274,0.002064
275,0.002055
276,0.002046
277,0.002037
278,0.002028
279,0.002019
280,0.002010
281,0.002002
282,0.001993
283,0.001984
284,0.001976
285,0.001967
286,0.001959
287,0.001951
288,0.001942
289,0.001934
290,0.001926
291,0.001918
292,0.001910
293,0.001902
294,0.001894
295,0.001887
296,0.001879
297,0.001871
298,0.001864
299,0.001856
300,0.001848
301,0.001841
302,0.001834
303,0.001826
304,0.001819
305,0.001812
306,0.001805
307,0.001798
308,0.001791
309,0.001784
310,0.001777
311,0.001770
312,0.001763
313,0.001756
314,0.001749
315,0.001743
316,0.001736
317,0.001729
318,0.001723
319,0.001716
320,0.001710
321,0.001703
322,0.001697
323,0.001691
324,0.001684
325,0.001678
326,0.001672
327,0.001666
328,0.001660
329,0.001654
330,0.001648
331,0.001642
332,0.001636
333,0.001630
334,0.001624
335,0.001618
336,0.001612
337,0.001607
338,0.001601
339,0.001595
340,0.001590
341,0.001584
342,0.001579
343,0.001573
344,0.001568
345,0.001562
346,0.001557
347,0.001551
348,0.001546
349,0.001541
350,0.001536
351,0.001530
352,0.001525
353,0.001520
354,0.001515
355,0.001510
356,0.001505
357,0.001500
358,0.001495
359,0.001490
360,0.001485
361,0.001480
362,0.001475
363,0.001470
364,0.001465
365,0.001461
366,0.001456
367,0.001451
368,0.001447
369,0.001442
370,0.001437
371,0.001433
372,0.001428
373,0.001424
374,0.001419
375,0.001415
376,0.001410
377,0.001406
378,0.001401
379,0.001397
380,0.001392
381,0.001388
382,0.001384
383,0.001380
384,0.001375
385,0.001371
386,0.001367
387,0.001363
388,0.001359
389,0.001354
390,0.001350
391,0.001346
392,0.001342
393,0.001338
394,0.001334
395,0.001330
396,0.001326
397,0.001322
398,0.001318
399,0.001314
400,0.001310
401,0.001307
402,0.001303
403,0.001299
404,0.001295
405,0.001291
406,0.001288
407,0.001284
408,0.001280
409,0.001277
410,0.001273
411,0.001269
412,0.001266
413,0.001262
414,0.001258
415,0.001255
416,0.001251
417,0.001248
418,0.001244
419,0.001241
420,0.001237
421,0.001234
422,0.001230
423,0.001227
424,0.001224
425,0.001220
426,0.001217
427,0.001213
428,0.001210
429,0.001207
430,0.001204
431,0.001200
432,0.001197
433,0.001194
434,0.001191
435,0.001187
436,0.001184
437,0.001181
438,0.001178
439,0.001175
440,0.001172
441,0.001168
442,0.001165
443,0.001162
444,0.001159
445,0.001156
446,0.001153
447,0.001150
448,0.001147
449,0.001144
450,0.001141
451,0.001138
452,0.001135
453,0.001132
454,0.001129
455,0.001126
456,0.001124
457,0.001121
458,0.001118
459,0.001115
460,0.001112
461,0.001109
462,0.001107
463,0.001104
464,0.001101
465,0.001098
466,0.001095
467,0.001093
468,0.001090
469,0.001087
470,0.001085
471,0.001082
472,0.001079
473,0.001077
474,0.001074
475,0.001071
476,0.001069
477,0.001066
478,0.001063
479,0.001061
480,0.001058
481,0.001056
482,0.001053
483,0.001051
484,0.001048
485,0.001046
486,0.001043
487,0.001041
488,0.001038
489,0.001036
490,0.001033
491,0.001031
492,0.001028
493,0.001026
494,0.001024
495,0.001021
496,0.001019
497,0.001016
498,0.001014
499,0.001012
500,0.001009
