epoca,mse
1,0.381317
2,0.324299
3,0.280938
4,0.250619
5,0.232405
6,0.219384
7,0.211771
8,0.205749
9,0.201656
10,0.199196
11,0.197375
12,0.195697
13,0.194481
14,0.193914
15,0.192927
16,0.192557
17,0.192470
18,0.191975
19,0.191760
20,0.191179
21,0.191302
22,0.191046
23,0.190529
24,0.190676
25,0.190472
26,0.190272
27,0.189818
28,0.189962
29,0.189811
30,0.189364
31,0.189532
32,0.189362
33,0.189131
34,0.188807
35,0.188861
36,0.188820
37,0.188687
38,0.188249
39,0.188136
40,0.188284
41,0.188032
42,0.188007
43,0.187874
44,0.187434
45,0.187593
46,0.187438
47,0.187019
48,0.187095
49,0.186923
50,0.186884
51,0.186725
52,0.186467
53,0.186448
54,0.186280
55,0.186143
56,0.185718
57,0.185867
58,0.185433
59,0.185287
60,0.185423
61,0.185271
62,0.184830
63,0.184872
64,0.184534
65,0.184585
66,0.184412
67,0.184080
68,0.184163
69,0.184057
70,0.183794
71,0.183432
72,0.183569
73,0.183310
74,0.183114
75,0.182758
76,0.182883
77,0.182679
78,0.182211
79,0.182258
80,0.182134
81,0.181886
82,0.181760
83,0.181550
84,0.181258
85,0.181080
86,0.180931
87,0.180510
88,0.180530
89,0.180364
90,0.179942
91,0.180008
92,0.179787
93,0.179284
94,0.179345
95,0.179102
96,0.178619
97,0.178660
98,0.178172
99,0.178234
100,0.177956
101,0.177711
102,0.177501
103,0.177255
104,0.176995
105,0.176504
106,0.176525
107,0.176005
108,0.175765
109,0.175517
110,0.175476
111,0.175215
112,0.175065
113,0.174745
114,0.174180
115,0.174196
116,0.173886
117,0.173523
118,0.173294
119,0.173045
120,0.172463
121,0.172357
122,0.172150
123,0.171838
124,0.171242
125,0.171141
126,0.170879
127,0.170596
128,0.170278
129,0.169885
130,0.169322
131,0.169242
132,0.168928
133,0.168278
134,0.168139
135,0.167808
136,0.167423
137,0.167101
138,0.166436
139,0.166323
140,0.165873
141,0.165565
142,0.165187
143,0.164712
144,0.164361
145,0.163952
146,0.163313
147,0.162901
148,0.162474
149,0.162353
150,0.161623
151,0.161447
152,0.160742
153,0.160574
154,0.160053
155,0.159689
156,0.159166
157,0.158717
158,0.158186
159,0.157679
160,0.157173
161,0.156753
162,0.156209
163,0.155770
164,0.155227
165,0.154470
166,0.154147
167,0.153629
168,0.152879
169,0.152623
170,0.151815
171,0.151459
172,0.150980
173,0.150122
174,0.149582
175,0.149289
176,0.148672
177,0.147826
178,0.147491
179,0.146836
180,0.146302
181,0.145395
182,0.144801
183,0.144210
184,0.143825
185,0.142914
186,0.142500
187,0.141840
188,0.140988
189,0.140569
190,0.139626
191,0.138987
192,0.138451
193,0.137583
194,0.137053
195,0.136317
196,0.135615
197,0.134770
198,0.134284
199,0.133551
200,0.132777
201,0.132075
202,0.131166
203,0.130412
204,0.129771
205,0.129051
206,0.128208
207,0.127544
208,0.126673
209,0.125795
210,0.125233
211,0.124454
212,0.123631
213,0.122678
214,0.122075
215,0.121281
216,0.120496
217,0.119500
218,0.118793
219,0.117932
220,0.117185
221,0.116324
222,0.115555
223,0.114821
224,0.113928
225,0.112996
226,0.112215
227,0.111506
228,0.110612
229,0.109884
230,0.109027
231,0.108027
232,0.107360
233,0.106377
234,0.105560
235,0.104745
236,0.104072
237,0.103181
238,0.102304
239,0.101401
240,0.100749
241,0.099730
242,0.098882
243,0.098204
244,0.097368
245,0.096540
246,0.095706
247,0.094883
248,0.094045
249,0.093084
250,0.092278
251,0.091548
252,0.090649
253,0.089855
254,0.089040
255,0.088242
256,0.087455
257,0.086752
258,0.085979
259,0.085054
260,0.084385
261,0.083549
262,0.082701
263,0.081930
264,0.081279
265,0.080439
266,0.079741
267,0.078873
268,0.078170
269,0.077487
270,0.076676
271,0.075898
272,0.075164
273,0.074429
274,0.073735
275,0.072966
276,0.072351
277,0.071640
278,0.070885
279,0.070229
280,0.069455
281,0.068782
282,0.068102
283,0.067424
284,0.066789
285,0.066180
286,0.065506
287,0.064782
288,0.064199
289,0.063555
290,0.062876
291,0.062297
292,0.061593
293,0.060977
294,0.060371
295,0.059759
296,0.059157
297,0.058634
298,0.057970
299,0.057459
300,0.056880
301,0.056265
302,0.055744
303,0.055138
304,0.054560
305,0.054034
306,0.053476
307,0.052944
308,0.052474
309,0.051917
310,0.051428
311,0.050882
312,0.050400
313,0.049902
314,0.049366
315,0.048911
316,0.048428
317,0.047894
318,0.047437
319,0.046974
320,0.046541
321,0.046043
322,0.045591
323,0.045156
324,0.044712
325,0.044263
326,0.043847
327,0.043407
328,0.043028
329,0.042608
330,0.042157
331,0.041792
332,0.041353
333,0.040958
334,0.040571
335,0.040185
336,0.039807
337,0.039442
338,0.039065
339,0.038711
340,0.038319
341,0.037961
342,0.037632
343,0.037259
344,0.036902
345,0.036560
346,0.036251
347,0.035914
348,0.035581
349,0.035226
350,0.034931
351,0.034594
352,0.034277
353,0.033958
354,0.033657
355,0.033369
356,0.033057
357,0.032771
358,0.032463
359,0.032174
360,0.031893
361,0.031608
362,0.031331
363,0.031052
364,0.030775
365,0.030507
366,0.030251
367,0.029986
368,0.029719
369,0.029482
370,0.029230
371,0.028967
372,0.028716
373,0.028488
374,0.028238
375,0.027998
376,0.027773
377,0.027530
378,0.027295
379,0.027073
380,0.026844
381,0.026637
382,0.026411
383,0.026191
384,0.025979
385,0.025766
386,0.025559
387,0.025350
388,0.025158
389,0.024949
390,0.024749
391,0.024554
392,0.024358
393,0.024167
394,0.023983
395,0.023783
396,0.023598
397,0.023424
398,0.023236
399,0.023052
400,0.022876
401,0.022701
402,0.022531
403,0.022365
404,0.022187
405,0.022019
406,0.021858
407,0.021690
408,0.021537
409,0.021371
410,0.021212
411,0.021060
412,0.020901
413,0.020746
414,0.020601
415,0.020447
416,0.020303
417,0.020156
418,0.020011
419,0.019868
420,0.019721
421,0.019586
422,0.019440
423,0.019303
424,0.019169
425,0.019035
426,0.018906
427,0.018772
428,0.018645
429,0.018510
430,0.018389
431,0.018263
432,0.018138
433,0.018015
434,0.017889
435,0.017768
436,0.017649
437,0.017534
438,0.017417
439,0.017301
440,0.017181
441,0.017073
442,0.016961
443,0.016844
444,0.016735
445,0.016628
446,0.016520
447,0.016413
448,0.016310
449,0.016206
450,0.016098
451,0.015996
452,0.015895
453,0.015794
454,0.015699
455,0.015600
456,0.015503
457,0.015406
458,0.015307
459,0.015216
460,0.015120
461,0.015029
462,0.014934
463,0.014846
464,0.014753
465,0.014667
466,0.014579
467,0.014489
468,0.014401
469,0.014317
470,0.014233
471,0.014147
472,0.014065
473,0.013983
474,0.013901
475,0.013818
476,0.013736
477,0.013658
478,0.013581
479,0.013502
480,0.013422
481,0.013347
482,0.013270
483,0.013197
484,0.013122
485,0.013048
486,0.012973
487,0.012903
488,0.012830
489,0.012759
490,0.012686
491,0.012618
492,0.012547
493,0.012478
494,0.012410
495,0.012343
496,0.012278
497,0.012211
498,0.012144
499,0.012079
500,0.012015
