epoca,mse
1,0.295928
2,0.287027
3,0.280040
4,0.274480
5,0.270524
6,0.266502
7,0.265873
8,0.265035
9,0.263670
10,0.263475
11,0.263839
12,0.263340
13,0.263194
14,0.262875
15,0.262842
16,0.262033
17,0.262782
18,0.262828
19,0.262690
20,0.262669
21,0.262575
22,0.262530
23,0.262506
24,0.262515
25,0.262510
26,0.262558
27,0.262490
28,0.261664
29,0.261668
30,0.262317
31,0.262334
32,0.261630
33,0.262321
34,0.262301
35,0.262275
36,0.262277
37,0.262224
38,0.262155
39,0.262155
40,0.261226
41,0.262129
42,0.261141
43,0.262045
44,0.261184
45,0.261143
46,0.261143
47,0.261117
48,0.261098
49,0.261064
50,0.261844
51,0.261693
52,0.261700
53,0.261758
54,0.261739
55,0.261703
56,0.261632
57,0.261589
58,0.260656
59,0.261504
60,0.261494
61,0.260669
62,0.261377
63,0.260399
64,0.261353
65,0.261269
66,0.261210
67,0.260469
68,0.261212
69,0.261150
70,0.260195
71,0.261002
72,0.260216
73,0.259951
74,0.260901
75,0.260069
76,0.260895
77,0.260015
78,0.259749
79,0.260736
80,0.260628
81,0.259831
82,0.260605
83,0.260588
84,0.260385
85,0.260433
86,0.260373
87,0.259571
88,0.260266
89,0.259375
90,0.260218
91,0.260128
92,0.260118
93,0.260114
94,0.259148
95,0.259900
96,0.259794
97,0.259838
98,0.258773
99,0.259770
100,0.258756
101,0.259575
102,0.258654
103,0.258661
104,0.259566
105,0.259292
106,0.259308
107,0.259256
108,0.259269
109,0.258123
110,0.259002
111,0.259110
112,0.258944
113,0.258131
114,0.258813
115,0.258798
116,0.257987
117,0.257701
118,0.258663
119,0.257417
120,0.257680
121,0.258296
122,0.258323
123,0.257328
124,0.258260
125,0.257050
126,0.258143
127,0.257958
128,0.257201
129,0.258023
130,0.257729
131,0.257806
132,0.256577
133,0.256595
134,0.257456
135,0.257417
136,0.256324
137,0.257163
138,0.257056
139,0.257002
140,0.256276
141,0.256885
142,0.255899
143,0.255738
144,0.256575
145,0.255615
146,0.255615
147,0.256410
148,0.256285
149,0.255575
150,0.255029
151,0.255992
152,0.255874
153,0.255954
154,0.255712
155,0.255771
156,0.255627
157,0.254579
158,0.255372
159,0.254429
160,0.255190
161,0.254106
162,0.254957
163,0.253991
164,0.254879
165,0.254788
166,0.254694
167,0.253313
168,0.254315
169,0.254375
170,0.253179
171,0.253105
172,0.252823
173,0.253958
174,0.253639
175,0.252676
176,0.253581
177,0.252745
178,0.253381
179,0.252016
180,0.253013
181,0.252967
182,0.251734
183,0.252759
184,0.252640
185,0.252507
186,0.251265
187,0.252212
188,0.252135
189,0.250906
190,0.251150
191,0.251921
192,0.250648
193,0.250860
194,0.251559
195,0.251331
196,0.251025
197,0.250962
198,0.250122
199,0.250684
200,0.249565
201,0.250458
202,0.250325
203,0.250033
204,0.249880
205,0.249762
206,0.249748
207,0.249704
208,0.249369
209,0.248321
210,0.249175
211,0.248076
212,0.248847
213,0.247655
214,0.248524
215,0.248374
216,0.247282
217,0.247140
218,0.247981
219,0.247722
220,0.247637
221,0.247409
222,0.246372
223,0.247192
224,0.245973
225,0.246635
226,0.246736
227,0.246573
228,0.245379
229,0.246065
230,0.246061
231,0.244605
232,0.244729
233,0.244886
234,0.245316
235,0.245034
236,0.244988
237,0.244798
238,0.244515
239,0.244434
240,0.243284
241,0.244016
242,0.243847
243,0.243604
244,0.243475
245,0.243528
246,0.242325
247,0.243196
248,0.242870
249,0.242529
250,0.241252
251,0.241479
252,0.242333
253,0.240978
254,0.240742
255,0.241218
256,0.240298
257,0.241019
258,0.241038
259,0.240111
260,0.240545
261,0.240268
262,0.240168
263,0.238887
264,0.239884
265,0.239458
266,0.238718
267,0.237733
268,0.237605
269,0.238679
270,0.237479
271,0.237293
272,0.238031
273,0.237828
274,0.237481
275,0.236817
276,0.237103
277,0.236353
278,0.236221
279,0.235659
280,0.235980
281,0.234925
282,0.235778
283,0.235521
284,0.235484
285,0.235131
286,0.233534
287,0.234706
288,0.234339
289,0.233977
290,0.233343
291,0.233744
292,0.232360
293,0.233157
294,0.232018
295,0.232629
296,0.232173
297,0.231725
298,0.232182
299,0.231548
300,0.231691
301,0.230898
302,0.231083
303,0.230801
304,0.230548
305,0.230427
306,0.229948
307,0.229235
308,0.229532
309,0.229251
310,0.227868
311,0.227800
312,0.227075
313,0.228280
314,0.228007
315,0.227492
316,0.227629
317,0.226150
318,0.226036
319,0.226156
320,0.225280
321,0.225192
322,0.225889
323,0.224181
324,0.224824
325,0.225119
326,0.224716
327,0.224430
328,0.222803
329,0.223727
330,0.223768
331,0.222471
332,0.223130
333,0.223038
334,0.222524
335,0.222304
336,0.220638
337,0.220828
338,0.220377
339,0.221498
340,0.220742
341,0.220817
342,0.219130
343,0.220038
344,0.219033
345,0.218869
346,0.219411
347,0.217753
348,0.219044
349,0.218191
350,0.218176
351,0.217969
352,0.216440
353,0.217355
354,0.217011
355,0.216402
356,0.215097
357,0.215998
358,0.214967
359,0.215383
360,0.214670
361,0.214930
362,0.214039
363,0.213234
364,0.212746
365,0.213639
366,0.212656
367,0.213396
368,0.212998
369,0.212229
370,0.212382
371,0.210753
372,0.210656
373,0.211907
374,0.210276
375,0.210984
376,0.210172
377,0.209706
378,0.209883
379,0.208685
380,0.209361
381,0.208486
382,0.208242
383,0.208456
384,0.206542
385,0.207759
386,0.207400
387,0.207043
388,0.206668
389,0.206030
390,0.206090
391,0.205999
392,0.205554
393,0.205397
394,0.205080
395,0.204200
396,0.203189
397,0.203649
398,0.203642
399,0.203068
400,0.202330
401,0.201991
402,0.202547
403,0.202365
404,0.201502
405,0.201767
406,0.200508
407,0.199885
408,0.200698
409,0.199956
410,0.200212
411,0.199136
412,0.198970
413,0.199203
414,0.198826
415,0.198498
416,0.197654
417,0.196750
418,0.197085
419,0.197356
420,0.196272
421,0.195753
422,0.196143
423,0.196135
424,0.194940
425,0.195382
426,0.194368
427,0.194732
428,0.193784
429,0.194060
430,0.193814
431,0.193525
432,0.192635
433,0.192800
434,0.191477
435,0.191441
436,0.191808
437,0.191480
438,0.191125
439,0.189478
440,0.190015
441,0.189377
442,0.189856
443,0.189160
444,0.189146
445,0.188908
446,0.188115
447,0.188253
